County,Population,Scrape_Date,State,Facility_Identifier
Autauga,182,2020-01-01,AL,AL_Autauga
Autauga,184,2020-01-02,AL,AL_Autauga
Autauga,178,2020-01-03,AL,AL_Autauga
Autauga,180,2020-01-04,AL,AL_Autauga
Autauga,184,2020-01-05,AL,AL_Autauga
Autauga,183,2020-01-06,AL,AL_Autauga
Autauga,180,2020-01-07,AL,AL_Autauga
Autauga,180,2020-01-08,AL,AL_Autauga
Autauga,179,2020-01-09,AL,AL_Autauga
Autauga,183,2020-01-10,AL,AL_Autauga
Autauga,180,2020-01-11,AL,AL_Autauga
Autauga,181,2020-01-12,AL,AL_Autauga
Autauga,179,2020-01-13,AL,AL_Autauga
Autauga,184,2020-01-14,AL,AL_Autauga
Autauga,183,2020-01-15,AL,AL_Autauga
Autauga,182,2020-01-16,AL,AL_Autauga
Autauga,175,2020-01-17,AL,AL_Autauga
Autauga,180,2020-01-18,AL,AL_Autauga
Autauga,181,2020-01-19,AL,AL_Autauga
Autauga,179,2020-01-20,AL,AL_Autauga
Autauga,177,2020-01-21,AL,AL_Autauga
Autauga,170,2020-01-22,AL,AL_Autauga
Autauga,160,2020-01-23,AL,AL_Autauga
Autauga,158,2020-01-24,AL,AL_Autauga
Autauga,159,2020-01-25,AL,AL_Autauga
Autauga,163,2020-01-26,AL,AL_Autauga
Autauga,161,2020-01-27,AL,AL_Autauga
Autauga,159,2020-01-28,AL,AL_Autauga
Autauga,160,2020-01-29,AL,AL_Autauga
Autauga,160,2020-01-30,AL,AL_Autauga
Autauga,163,2020-01-31,AL,AL_Autauga
Autauga,157,2020-02-07,AL,AL_Autauga
Autauga,157,2020-02-08,AL,AL_Autauga
Autauga,164,2020-02-09,AL,AL_Autauga
Autauga,162,2020-02-10,AL,AL_Autauga
Autauga,162,2020-02-11,AL,AL_Autauga
Autauga,164,2020-02-12,AL,AL_Autauga
Autauga,168,2020-02-13,AL,AL_Autauga
Autauga,164,2020-02-14,AL,AL_Autauga
Autauga,168,2020-02-15,AL,AL_Autauga
Autauga,169,2020-02-16,AL,AL_Autauga
Autauga,167,2020-02-17,AL,AL_Autauga
Autauga,167,2020-02-18,AL,AL_Autauga
Autauga,171,2020-02-19,AL,AL_Autauga
Autauga,172,2020-02-20,AL,AL_Autauga
Autauga,175,2020-02-21,AL,AL_Autauga
Autauga,173,2020-02-22,AL,AL_Autauga
Autauga,173,2020-02-23,AL,AL_Autauga
Autauga,170,2020-02-24,AL,AL_Autauga
Autauga,170,2020-02-25,AL,AL_Autauga
Autauga,169,2020-02-26,AL,AL_Autauga
Autauga,171,2020-02-27,AL,AL_Autauga
Autauga,169,2020-02-28,AL,AL_Autauga
Autauga,173,2020-03-04,AL,AL_Autauga
Autauga,175,2020-03-05,AL,AL_Autauga
Autauga,177,2020-03-06,AL,AL_Autauga
Autauga,166,2020-03-07,AL,AL_Autauga
Autauga,166,2020-03-08,AL,AL_Autauga
Autauga,169,2020-03-09,AL,AL_Autauga
Autauga,171,2020-03-10,AL,AL_Autauga
Autauga,172,2020-03-11,AL,AL_Autauga
Autauga,173,2020-03-12,AL,AL_Autauga
Autauga,179,2020-03-13,AL,AL_Autauga
Autauga,180,2020-03-14,AL,AL_Autauga
Baldwin,559,2020-02-28,AL,AL_Baldwin
Baldwin,559,2020-02-29,AL,AL_Baldwin
Baldwin,569,2020-03-01,AL,AL_Baldwin
Baldwin,576,2020-03-02,AL,AL_Baldwin
Baldwin,561,2020-03-03,AL,AL_Baldwin
Baldwin,562,2020-03-04,AL,AL_Baldwin
Baldwin,575,2020-03-05,AL,AL_Baldwin
Baldwin,560,2020-03-06,AL,AL_Baldwin
Baldwin,551,2020-03-07,AL,AL_Baldwin
Baldwin,560,2020-03-08,AL,AL_Baldwin
Baldwin,567,2020-03-09,AL,AL_Baldwin
Baldwin,570,2020-03-10,AL,AL_Baldwin
Baldwin,578,2020-03-11,AL,AL_Baldwin
Baldwin,572,2020-03-12,AL,AL_Baldwin
Baldwin,583,2020-03-13,AL,AL_Baldwin
Baldwin,581,2020-03-14,AL,AL_Baldwin
Baldwin,582,2020-03-15,AL,AL_Baldwin
Blount,150,2020-01-01,AL,AL_Blount
Blount,149,2020-01-02,AL,AL_Blount
Blount,148,2020-01-03,AL,AL_Blount
Blount,145,2020-01-04,AL,AL_Blount
Blount,148,2020-01-05,AL,AL_Blount
Blount,145,2020-01-06,AL,AL_Blount
Blount,144,2020-01-07,AL,AL_Blount
Blount,149,2020-01-08,AL,AL_Blount
Blount,141,2020-01-09,AL,AL_Blount
Blount,147,2020-01-10,AL,AL_Blount
Blount,142,2020-01-11,AL,AL_Blount
Blount,145,2020-01-12,AL,AL_Blount
Blount,141,2020-01-13,AL,AL_Blount
Blount,140,2020-01-14,AL,AL_Blount
Blount,143,2020-01-15,AL,AL_Blount
Blount,145,2020-01-16,AL,AL_Blount
Blount,141,2020-01-17,AL,AL_Blount
Blount,140,2020-01-18,AL,AL_Blount
Blount,141,2020-01-19,AL,AL_Blount
Blount,146,2020-01-20,AL,AL_Blount
Blount,148,2020-01-21,AL,AL_Blount
Blount,149,2020-01-22,AL,AL_Blount
Blount,153,2020-01-23,AL,AL_Blount
Blount,151,2020-01-24,AL,AL_Blount
Blount,145,2020-01-25,AL,AL_Blount
Blount,145,2020-01-26,AL,AL_Blount
Blount,146,2020-01-27,AL,AL_Blount
Blount,148,2020-01-28,AL,AL_Blount
Blount,154,2020-01-29,AL,AL_Blount
Blount,148,2020-01-30,AL,AL_Blount
Blount,150,2020-01-31,AL,AL_Blount
Blount,148,2020-02-01,AL,AL_Blount
Blount,155,2020-02-02,AL,AL_Blount
Blount,146,2020-02-03,AL,AL_Blount
Blount,147,2020-02-04,AL,AL_Blount
