State,County,Facility_Name,Facility_Identifier,Scrape_Date,Race,Race_Population,Race_Change,Race_Proportion,Total_Population,Total_Change
AL,Autauga,Autauga Metro Jail,AL_Autauga,3/16/20,black,64,,0.359550562,178,
AL,Autauga,Autauga Metro Jail,AL_Autauga,3/16/20,hispanic,1,,0.005617978,178,
AL,Autauga,Autauga Metro Jail,AL_Autauga,3/16/20,other,1,,0.005617978,178,
AL,Autauga,Autauga Metro Jail,AL_Autauga,3/16/20,white,112,,0.629213483,178,
AL,Autauga,Autauga Metro Jail,AL_Autauga,4/12/20,black,57,-0.109375,0.410071942,139,-0.219101124
AL,Autauga,Autauga Metro Jail,AL_Autauga,4/12/20,hispanic,1,0,0.007194245,139,-0.219101124
AL,Autauga,Autauga Metro Jail,AL_Autauga,4/12/20,other,1,0,0.007194245,139,-0.219101124
AL,Autauga,Autauga Metro Jail,AL_Autauga,4/12/20,white,80,-0.285714286,0.575539568,139,-0.219101124
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,3/16/20,black,159,,0.270868825,587,
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,3/16/20,hispanic,37,,0.063032368,587,
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,3/16/20,other,3,,0.005110733,587,
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,3/16/20,white,388,,0.660988075,587,
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,4/12/20,black,124,-0.220125786,0.294536817,421,-0.282793867
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,4/12/20,hispanic,33,-0.108108108,0.078384798,421,-0.282793867
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,4/12/20,other,3,0,0.007125891,421,-0.282793867
AL,Baldwin,Baldwin Co. Corr. Ctr.,AL_Baldwin,4/12/20,white,261,-0.327319588,0.619952494,421,-0.282793867
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,3/16/20,black,2,,0.014705882,136,
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,3/16/20,hispanic,7,,0.051470588,136,
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,3/16/20,other,0,,0,136,
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,3/16/20,white,127,,0.933823529,136,
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,4/12/20,black,2,0,0.024390244,82,-0.397058824
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,4/12/20,hispanic,6,-0.142857143,0.073170732,82,-0.397058824
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,4/12/20,other,0,,0,82,-0.397058824
AL,Blount,Blount Co. Corr. Fac.,AL_Blount,4/12/20,white,74,-0.417322835,0.902439024,82,-0.397058824
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,3/16/20,black,70,,0.48951049,143,
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,3/16/20,hispanic,0,,0,143,
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,3/16/20,other,4,,0.027972028,143,
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,3/16/20,white,69,,0.482517483,143,
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,4/12/20,black,54,-0.228571429,0.514285714,105,-0.265734266
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,4/12/20,hispanic,0,,0,105,-0.265734266
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,4/12/20,other,2,-0.5,0.019047619,105,-0.265734266
AL,Chambers,Sheriff James C. Morgan Det. Fac.,AL_Chambers,4/12/20,white,49,-0.289855072,0.466666667,105,-0.265734266
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,3/16/20,black,11,,0.089430894,123,
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,3/16/20,hispanic,4,,0.032520325,123,
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,3/16/20,other,0,,0,123,
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,3/16/20,white,108,,0.87804878,123,
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,4/12/20,black,8,-0.272727273,0.115942029,69,-0.43902439
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,4/12/20,hispanic,3,-0.25,0.043478261,69,-0.43902439
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,4/12/20,other,1,inf,0.014492754,69,-0.43902439
AL,Cherokee,Cherokee Co. Det. Ctr.,AL_Cherokee,4/12/20,white,57,-0.472222222,0.826086957,69,-0.43902439
AL,Clay,Clay Co. Jail,AL_Clay,3/16/20,black,13,,0.30952381,42,
AL,Clay,Clay Co. Jail,AL_Clay,3/16/20,hispanic,0,,0,42,
AL,Clay,Clay Co. Jail,AL_Clay,3/16/20,other,0,,0,42,
AL,Clay,Clay Co. Jail,AL_Clay,3/16/20,white,29,,0.69047619,42,
AL,Clay,Clay Co. Jail,AL_Clay,4/12/20,black,11,-0.153846154,0.407407407,27,-0.357142857
AL,Clay,Clay Co. Jail,AL_Clay,4/12/20,hispanic,0,,0,27,-0.357142857
AL,Clay,Clay Co. Jail,AL_Clay,4/12/20,other,0,,0,27,-0.357142857
AL,Clay,Clay Co. Jail,AL_Clay,4/12/20,white,16,-0.448275862,0.592592593,27,-0.357142857
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,3/16/20,black,13,,0.152941176,85,
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,3/16/20,hispanic,0,,0,85,
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,3/16/20,other,3,,0.035294118,85,
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,3/16/20,white,69,,0.811764706,85,
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,4/12/20,black,10,-0.230769231,0.158730159,63,-0.258823529
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,4/12/20,hispanic,0,,0,63,-0.258823529
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,4/12/20,other,2,-0.333333333,0.031746032,63,-0.258823529
AL,Cleburne,Cleburne Co. Jail,AL_Cleburne,4/12/20,white,51,-0.260869565,0.80952381,63,-0.258823529
AL,Coffee,Coffee Co. Jail,AL_Coffee,3/16/20,black,60,,0.472440945,127,
AL,Coffee,Coffee Co. Jail,AL_Coffee,3/16/20,hispanic,1,,0.007874016,127,
AL,Coffee,Coffee Co. Jail,AL_Coffee,3/16/20,other,0,,0,127,
AL,Coffee,Coffee Co. Jail,AL_Coffee,3/16/20,white,66,,0.519685039,127,
AL,Coffee,Coffee Co. Jail,AL_Coffee,4/12/20,black,33,-0.45,0.523809524,63,-0.503937008
AL,Coffee,Coffee Co. Jail,AL_Coffee,4/12/20,hispanic,1,0,0.015873016,63,-0.503937008
AL,Coffee,Coffee Co. Jail,AL_Coffee,4/12/20,other,0,,0,63,-0.503937008
AL,Coffee,Coffee Co. Jail,AL_Coffee,4/12/20,white,29,-0.560606061,0.46031746,63,-0.503937008
AL,Coosa,Coosa Co. Jail,AL_Coosa,3/16/20,black,7,,0.259259259,27,
AL,Coosa,Coosa Co. Jail,AL_Coosa,3/16/20,hispanic,0,,0,27,
AL,Coosa,Coosa Co. Jail,AL_Coosa,3/16/20,other,0,,0,27,
AL,Coosa,Coosa Co. Jail,AL_Coosa,3/16/20,white,20,,0.740740741,27,
AL,Coosa,Coosa Co. Jail,AL_Coosa,4/12/20,black,8,0.142857143,0.363636364,22,-0.185185185
AL,Coosa,Coosa Co. Jail,AL_Coosa,4/12/20,hispanic,0,,0,22,-0.185185185
AL,Coosa,Coosa Co. Jail,AL_Coosa,4/12/20,other,0,,0,22,-0.185185185
AL,Coosa,Coosa Co. Jail,AL_Coosa,4/12/20,white,14,-0.3,0.636363636,22,-0.185185185
AL,Dale,Dale Co. Jail,AL_Dale,3/16/20,black,32,,0.426666667,75,
AL,Dale,Dale Co. Jail,AL_Dale,3/16/20,hispanic,0,,0,75,
AL,Dale,Dale Co. Jail,AL_Dale,3/16/20,other,1,,0.013333333,75,
AL,Dale,Dale Co. Jail,AL_Dale,3/16/20,white,42,,0.56,75,
AL,Dale,Dale Co. Jail,AL_Dale,4/12/20,black,21,-0.34375,0.368421053,57,-0.24
AL,Dale,Dale Co. Jail,AL_Dale,4/12/20,hispanic,1,inf,0.01754386,57,-0.24
AL,Dale,Dale Co. Jail,AL_Dale,4/12/20,other,1,0,0.01754386,57,-0.24
AL,Dale,Dale Co. Jail,AL_Dale,4/12/20,white,34,-0.19047619,0.596491228,57,-0.24
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,3/16/20,black,9,,0.057692308,156,
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,3/16/20,hispanic,8,,0.051282051,156,
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,3/16/20,other,2,,0.012820513,156,
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,3/16/20,white,137,,0.878205128,156,
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,black,7,-0.222222222,0.068627451,102,-0.346153846
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,hispanic,5,-0.375,0.049019608,102,-0.346153846
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,other,1,-0.5,0.009803922,102,-0.346153846
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,white,89,-0.350364964,0.87254902,102,-0.346153846
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,black,17,,0.22972973,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,hispanic,1,,0.013513514,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,other,0,,0,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,white,56,,0.756756757,74,
