2020-09-03 10:52:04

Population = 0:
Empty DataFrame
Columns: [Scrape_Date, Facility_Identifier, Population, Change]
Index: []


Drastic Change:
Scrape_Date      Facility_Identifier  Population      Change
 2020-09-03                  KY_Clay         223    0.143590
 2020-09-03                  NC_Clay         223    0.143590
 2020-09-03                 OH_Lucas         114    0.106796
 2020-09-02               KY_Lincoln         106   -0.131148
 2020-09-02            LA_Livingston         678    0.120661
 2020-09-02                 OH_Lucas         103    0.119565
 2020-09-02              WA_Franklin         159   -0.101695
 2020-09-01                  IN_Clay         141   -0.113208
 2020-09-01             LA_Claiborne         444   -0.137864
 2020-09-01             WA_Nisqually         161   -0.105556
 2020-08-31              LA_Franklin         876    0.104666
 2020-08-31                 OH_Lucas         116    0.288889
 2020-08-31               VA_Roanoke         174   -0.103093
 2020-08-29                  OH_Wood         121    0.110092
 2020-08-29    VA_Blue_Ridge_Bedford         105    0.105263
 2020-08-29               VA_Roanoke         194    0.102273
 2020-08-28         MN_Hennepin_Jail         495    0.122449
 2020-08-28                 NE_Sarpy         110    0.122449
 2020-08-27               LA_Webster         638    0.121265
 2020-08-27                 MN_Anoka         152   -0.111111
 2020-08-27                NC_Stanly         123   -0.133803
 2020-08-26              LA_Franklin         796    0.107093
 2020-08-26              LA_Richland         737    0.128637
 2020-08-26                 OH_Lucas         124    0.305263
 2020-08-25             WA_Nisqually         152   -0.126437
 2020-08-24            LA_Beauregard         136    0.105691
 2020-08-24             MN_Crow_Wing         108    0.102041
 2020-08-24              NM_Sandoval         102    0.133333
 2020-08-24            OH_Washington         129    0.216981
 2020-08-23                 MN_Anoka         153    0.133333
 2020-08-23                 OH_Lucas         109   -0.141732
 2020-08-22             AL_Jefferson         870    0.372240
 2020-08-22            KY_Crittenden         121    0.100000
 2020-08-22        MO_Cape_Girardeau         174    0.101266
 2020-08-22                 MS_Yazoo         386   -0.283859
 2020-08-22               VA_Roanoke         192    0.156627
 2020-08-21              ID_Kootenai         277   -0.147692
 2020-08-21               IN_Clinton         158    0.327731
 2020-08-20                AZ_Mohave         315    2.888889
 2020-08-20                 KY_Adair         103   -0.119658
 2020-08-20                 KY_Wayne         127    0.154545
 2020-08-20                  NM_Luna         322    0.133803
 2020-08-20                 OH_Lucas         120    0.176471
 2020-08-19                 OH_Lucas         102    0.200000
 2020-08-18               KS_Shawnee         443   43.300000
 2020-08-18        MO_Cape_Girardeau         160         inf
 2020-08-18                 NC_Burke         120   -0.111111
 2020-08-18              NC_Johnston         265    0.183036
 2020-08-18               PA_Clinton         185    3.302326
 2020-08-17                MN_Dakota         121    0.100000
 2020-08-17               MO_Daviess         147    0.105263
 2020-08-17                  ND_Ward         163    0.116438
